GraphName GenerateTime SaveTime FileSize
barabasi1000.graph 0.12 0.1 7
barabasi11000.graph 1.500 0.13 99
barabasi21000.graph 5.590 0.27 205
barabasi31000.graph 12.126 0.40 313
barabasi41000.graph 21.797 0.56 423
