StartNode k=1 k=2 k=3 k=4
807 2 26 64 64
418 10 45 64 64
323 10 51 64 64
608 8 46 64 64
982 9 45 64 64
72 6 46 64 64
602 12 52 64 64
242 9 46 64 64
394 7 41 64 64

105 5 38 64 64
56 12 58 64 64
285 6 46 64 64
227 10 52 63 64
588 8 54 64 64
511 6 44 64 64
934 5 45 64 64
359 8 50 64 64
37 4 38 64 64

5223 7 45 64 64
2024 3 34 64 64
9533 10 50 64 64
6573 11 53 64 64
16165 9 52 64 64
13563 3 29 64 64
7953 11 58 64 64
13910 12 52 64 64
13276 7 44 64 64

