StartNode k=1 k=2 k=3 k=4
984 2 4 4 4
7 3 4 4 4
513 4 4 4 4
182 3 4 4 4
985 3 4 4 4
726 4 4 4 4
169 4 4 4 4
187 3 4 4 4
132 3 4 4 4

831 4 4 4 4
587 3 4 4 4
670 4 4 4 4
446 2 4 4 4
803 2 4 4 4
649 4 4 4 4
311 3 4 4 4
465 4 4 4 4
35 4 4 4 4

13772 4 4 4 4
3770 4 4 4 4
16114 4 4 4 4
7036 4 4 4 4
6112 4 4 4 4
17454 4 4 4 4
6011 4 4 4 4
14137 4 4 4 4
6958 4 4 4 4

