StartNode k=1 k=2 k=3 k=4
931 10 52 64 64
934 6 43 64 64
528 5 37 64 64
753 6 43 64 64
732 10 50 64 64
216 7 46 64 64
196 8 41 64 64
966 5 39 63 64
379 7 33 61 64

61 9 49 64 64
406 6 50 64 64
50 12 57 64 64
231 6 49 64 64
271 9 52 64 64
483 10 53 64 64
917 8 44 64 64
896 9 49 64 64
439 10 57 64 64

5323 11 54 64 64
1424 9 50 64 64
7695 11 58 64 64
6321 6 40 64 64
12024 9 53 64 64
5805 11 58 64 64
15147 7 52 64 64
1663 12 56 64 64
4550 6 45 64 64

