StartNode k=1 k=2 k=3 k=4
420 3 4 4 4
650 3 4 4 4
285 4 4 4 4
841 4 4 4 4
93 4 4 4 4
280 3 4 4 4
78 4 4 4 4
22 3 4 4 4
578 4 4 4 4

325 4 4 4 4
842 4 4 4 4
360 4 4 4 4
513 3 4 4 4
961 4 4 4 4
483 4 4 4 4
645 4 4 4 4
740 3 4 4 4
916 3 4 4 4

8858 4 4 4 4
18735 4 4 4 4
1205 4 4 4 4
253 3 4 4 4
15220 2 4 4 4
7266 4 4 4 4
8987 2 4 4 4
5328 3 4 4 4
13718 4 4 4 4

